book_id,title
1,"The Hunger Games (The Hunger Games, #1)"
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
3,"Twilight (Twilight, #1)"
4,To Kill a Mockingbird
5,The Great Gatsby
6,The Fault in Our Stars
7,The Hobbit
8,The Catcher in the Rye
9,"Angels & Demons  (Robert Langdon, #1)"
10,Pride and Prejudice
11,The Kite Runner
12,"Divergent (Divergent, #1)"
13,1984
14,Animal Farm
15,The Diary of a Young Girl
16,"The Girl with the Dragon Tattoo (Millennium, #1)"
17,"Catching Fire (The Hunger Games, #2)"
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
19,"The Fellowship of the Ring (The Lord of the Rings, #1)"
20,"Mockingjay (The Hunger Games, #3)"
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
22,The Lovely Bones
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)"
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)"
26,"The Da Vinci Code (Robert Langdon, #2)"
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
28,Lord of the Flies
29,Romeo and Juliet
30,Gone Girl
31,The Help
32,Of Mice and Men
33,Memoirs of a Geisha
34,"Fifty Shades of Grey (Fifty Shades, #1)"
35,The Alchemist
36,"The Giver (The Giver, #1)"
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)"
38,The Time Traveler's Wife
39,"A Game of Thrones (A Song of Ice and Fire, #1)"
40,"Eat, Pray, Love"
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)"
42,"Little Women (Little Women, #1)"
43,Jane Eyre
44,"The Notebook (The Notebook, #1)"
45,Life of Pi
46,Water for Elephants
47,The Book Thief
48,Fahrenheit 451
49,"New Moon (Twilight, #2)"
50,Where the Sidewalk Ends
51,"City of Bones (The Mortal Instruments, #1)"
52,"Eclipse (Twilight, #3)"
53,"Eragon (The Inheritance Cycle, #1)"
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
55,Brave New World
56,"Breaking Dawn (Twilight, #4)"
57,The Secret Life of Bees
58,The Adventures of Huckleberry Finn
59,Charlotte's Web
60,The Curious Incident of the Dog in the Night-Time
61,The Girl on the Train
62,"The Golden Compass (His Dark Materials, #1)"
63,Wuthering Heights
64,My Sister's Keeper
65,Slaughterhouse-Five
66,Gone with the Wind
67,A Thousand Splendid Suns
68,The Perks of Being a Wallflower
69,"Insurgent (Divergent, #2)"
70,"Ender's Game (Ender's Saga, #1)"
71,Frankenstein
72,The Shining (The Shining #1)
73,"The Host (The Host, #1)"
74,Looking for Alaska
75,"Bridget Jones's Diary (Bridget Jones, #1)"
76,Sense and Sensibility
77,"Holes (Holes, #1)"
78,"The Devil Wears Prada (The Devil Wears Prada, #1)"
79,The Odyssey
80,The Little Prince
81,The Glass Castle
82,Into the Wild
83,A Tale of Two Cities
84,"Jurassic Park (Jurassic Park, #1)"
85,The Giving Tree
86,A Time to Kill
87,Night (The Night Trilogy #1)
88,Paper Towns
89,The Princess Bride 
90,The Outsiders
91,"The Maze Runner (Maze Runner, #1)"
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)"
93,The Secret Garden
94,One Hundred Years of Solitude
95,The Picture of Dorian Gray
96,"Fifty Shades Freed (Fifty Shades, #3)"
97,Dracula
98,"The Girl Who Played with Fire (Millennium, #2)"
99,"Fifty Shades Darker (Fifty Shades, #2)"
100,The Poisonwood Bible
